trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.9975053266730701}",30,0,-190.99206142903995,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.9974682473282063}",30,0,-100.49032596508412,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9974308947989616}",20,0,-187.65912857721239,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9973932690955664}",25,0,-114.25452351389704,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.9973553702283251}",25,0,-61.966558678517885,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9973171982076177}",25,0,-157.3959368553308,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.9972787530438985}",20,0,-144.08888918404057,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
142,False,"{'a': 0.5, 'e': 0.9972400347476968}",35,0,-222.6775770531766,"{0: 16, 1: 5, 2: 12, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9972010433296168}",20,0,-118.90817309572004,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9971617788003372}",35,0,-222.94449874642424,"{0: 20, 1: 1, 2: 10, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9971222411706118}",20,0,-70.03655256921387,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.9970824304512691}",20,8,-13.299460307577014,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.9970423466532122}",20,0,-94.40157085133804,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.9970019897874194}",35,25,-5.211930905390858,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.9969613598649434}",25,0,-115.50501346672338,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9969204568969118}",20,0,-176.27732969837186,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
151,False,"{'a': 0.5, 'e': 0.9968792808945272}",20,0,-124.59952135827469,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
